Epoch,Total Epochs,Iteration,Total Iterations,Loss_D,Loss_G,D(x),D(G(z))_Real,D(G(z))_Fake
0,1000,0,32,-0.035064131021499634,0.044799819588661194,0.012302478775382042,-0.02276165410876274,-0.044799819588661194
1,1000,0,32,-910.052001953125,233.86839294433594,643.5783081054688,-266.4737243652344,-233.86839294433594
2,1000,0,32,-757.339111328125,195.57000732421875,474.7348327636719,-282.604248046875,-195.57000732421875
3,1000,0,32,-703.747802734375,243.94741821289062,475.66546630859375,-228.08233642578125,-243.94741821289062
4,1000,0,32,-673.2767333984375,102.08818817138672,582.352783203125,-90.92398071289062,-102.08818817138672
5,1000,0,32,-431.7200927734375,74.68977355957031,352.833740234375,-78.88636779785156,-74.68977355957031
6,1000,0,32,-373.6109619140625,-90.56198120117188,449.44488525390625,75.83391571044922,90.56198120117188
7,1000,0,32,-27.730602264404297,-22.111419677734375,-25.70507049560547,-53.435672760009766,22.111419677734375
8,1000,0,32,-66.83638000488281,87.75125122070312,-42.54801559448242,-109.3843994140625,-87.75125122070312
9,1000,0,32,-45.353553771972656,-123.33726501464844,160.18234252929688,114.82878875732422,123.33726501464844
10,1000,0,32,-12.990470886230469,100.64403533935547,-66.91279602050781,-79.90326690673828,-100.64403533935547
11,1000,0,32,-25.14422607421875,180.56808471679688,-154.35797119140625,-179.502197265625,-180.56808471679688
12,1000,0,32,-69.33787536621094,-107.56382751464844,155.1859130859375,85.84803771972656,107.56382751464844
13,1000,0,32,-85.53785705566406,-270.5631408691406,307.5212097167969,221.9833526611328,270.5631408691406
14,1000,0,32,-38.326961517333984,10.339715957641602,53.75121307373047,15.424251556396484,-10.339715957641602
15,1000,0,32,-15.559112548828125,-30.10214614868164,34.96994400024414,19.410831451416016,30.10214614868164
16,1000,0,32,-22.14913558959961,1.5861918926239014,67.16629028320312,45.017154693603516,-1.5861918926239014
17,1000,0,32,-13.181549072265625,-139.49293518066406,142.44508361816406,129.26353454589844,139.49293518066406
18,1000,0,32,47.533599853515625,186.90121459960938,-300.70404052734375,-253.17044067382812,-186.90121459960938
19,1000,0,32,-82.56263732910156,349.95660400390625,-133.57275390625,-216.13539123535156,-349.95660400390625
20,1000,0,32,26.364013671875,227.185791015625,-315.518798828125,-289.15478515625,-227.185791015625
21,1000,0,32,46.98614501953125,613.1708984375,-641.0076904296875,-594.0215454101562,-613.1708984375
22,1000,0,32,32.6131591796875,329.2608337402344,-414.9471435546875,-382.333984375,-329.2608337402344
23,1000,0,32,-44.51611328125,655.194580078125,-576.3350219726562,-620.8511352539062,-655.194580078125
24,1000,0,32,-13.64495849609375,-27.71186065673828,53.72798156738281,40.08302307128906,27.71186065673828
25,1000,0,32,-17.23492431640625,645.4430541992188,-544.83984375,-562.0747680664062,-645.4430541992188
26,1000,0,32,-8.233551025390625,263.1634216308594,-241.25308227539062,-249.48663330078125,-263.1634216308594
27,1000,0,32,44.344329833984375,-400.4349670410156,510.8152160644531,555.1595458984375,400.4349670410156
28,1000,0,32,67.56661987304688,137.6876220703125,-333.5943908691406,-266.02777099609375,-137.6876220703125
29,1000,0,32,-9.741340637207031,-72.50255584716797,87.41414642333984,77.67280578613281,72.50255584716797
30,1000,0,32,86.224365234375,-938.89013671875,911.000732421875,997.22509765625,938.89013671875
31,1000,0,32,-9.531021118164062,53.185508728027344,27.096899032592773,17.56587791442871,-53.185508728027344
32,1000,0,32,-92.148681640625,-196.92611694335938,187.4114227294922,95.26274108886719,196.92611694335938
33,1000,0,32,2.1564531326293945,71.55238342285156,7.385322570800781,9.541775703430176,-71.55238342285156
34,1000,0,32,-27.02630615234375,795.3580932617188,-857.921142578125,-884.9474487304688,-795.3580932617188
35,1000,0,32,-40.78076171875,-794.098388671875,797.9835205078125,757.2027587890625,794.098388671875
36,1000,0,32,7.417724609375,214.60162353515625,-294.18048095703125,-286.76275634765625,-214.60162353515625
37,1000,0,32,-174.49551391601562,940.2041625976562,-480.4457702636719,-654.9412841796875,-940.2041625976562
38,1000,0,32,-0.671966552734375,418.6060485839844,-446.6697998046875,-447.3417663574219,-418.6060485839844
39,1000,0,32,-171.66278076171875,805.6722412109375,-561.5202026367188,-733.1829833984375,-805.6722412109375
40,1000,0,32,-81.2469482421875,-650.3364868164062,652.8291625976562,571.5822143554688,650.3364868164062
41,1000,0,32,-241.42257690429688,879.6656494140625,-325.3908996582031,-566.8134765625,-879.6656494140625
42,1000,0,32,-11.16241455078125,853.0201416015625,-832.7709350585938,-843.933349609375,-853.0201416015625
43,1000,0,32,5.07763671875,464.2100830078125,-483.824951171875,-478.747314453125,-464.2100830078125
44,1000,0,32,-16.579147338867188,-209.4887237548828,238.4867706298828,221.90762329101562,209.4887237548828
45,1000,0,32,-183.67645263671875,-940.9446411132812,990.7356567382812,807.0592041015625,940.9446411132812
46,1000,0,32,-17.6942138671875,-345.3217468261719,317.2425537109375,299.54833984375,345.3217468261719
47,1000,0,32,-32.8602294921875,371.02337646484375,-338.67694091796875,-371.53717041015625,-371.02337646484375
48,1000,0,32,152.88873291015625,693.8818969726562,-958.1580200195312,-805.269287109375,-693.8818969726562
49,1000,0,32,26.87933349609375,-529.9085083007812,569.9368286132812,596.816162109375,529.9085083007812
50,1000,0,32,-15.339523315429688,227.25704956054688,-157.74525451660156,-173.08477783203125,-227.25704956054688
51,1000,0,32,-61.4217529296875,1026.28466796875,-1012.5130615234375,-1073.934814453125,-1026.28466796875
52,1000,0,32,-97.43353271484375,-984.6055908203125,889.5601196289062,792.1265869140625,984.6055908203125
53,1000,0,32,22.3988037109375,1078.550048828125,-1181.813720703125,-1159.4149169921875,-1078.550048828125
54,1000,0,32,-11.061576843261719,-48.50593566894531,122.1949234008789,111.13334655761719,48.50593566894531
55,1000,0,32,4.138702392578125,325.7510070800781,-376.7217712402344,-372.58306884765625,-325.7510070800781
56,1000,0,32,-148.810546875,-1140.2845458984375,1200.932373046875,1052.121826171875,1140.2845458984375
