image_name,lpips_score
1-21.png,0.3674
1-09.png,0.3666
1-08.png,0.3828
1-20.png,0.3559
1-22.png,0.3646
1-23.png,0.3761
1-27.png,0.3960
1-26.png,0.3920
1-18.png,0.3530
1-24.png,0.3828
1-30.png,0.4063
1-25.png,0.3902
1-19.png,0.3487
1-14.png,0.3540
1-28.png,0.4054
1-29.png,0.4037
1-15.png,0.3449
1-01.png,0.4339
1-17.png,0.3490
1-03.png,0.4380
1-02.png,0.4425
1-16.png,0.3578
1-12.png,0.3498
1-06.png,0.4131
1-07.png,0.3995
1-13.png,0.3518
1-05.png,0.4139
1-11.png,0.3481
1-10.png,0.3514
1-04.png,0.4269
1-42.png,0.3643
1-56.png,0.3855
1-57.png,0.3621
1-43.png,0.3561
1-55.png,0.3847
1-41.png,0.3626
1-40.png,0.3574
1-54.png,0.3866
1-50.png,0.3589
1-44.png,0.3564
1-45.png,0.3560
1-51.png,0.3713
1-47.png,0.3575
1-53.png,0.3824
1-52.png,0.3795
1-46.png,0.3603
1-21.png,0.3950
1-35.png,0.3731
1-09.png,0.4421
1-08.png,0.4388
1-34.png,0.3717
1-20.png,0.3970
1-36.png,0.3623
1-22.png,0.3899
1-23.png,0.3869
1-37.png,0.3595
1-33.png,0.3768
1-27.png,0.3812
1-26.png,0.3828
1-32.png,0.3746
1-18.png,0.3983
1-24.png,0.3843
1-30.png,0.3796
1-31.png,0.3815
1-25.png,0.3841
1-19.png,0.3976
1-14.png,0.4203
1-28.png,0.3840
1-29.png,0.3774
1-15.png,0.4168
1-01.png,0.4356
1-17.png,0.4012
1-03.png,0.4123
1-02.png,0.4178
1-16.png,0.4103
1-12.png,0.4269
1-06.png,0.4167
1-07.png,0.4349
1-13.png,0.4204
1-39.png,0.3619
1-05.png,0.4129
1-11.png,0.4342
1-10.png,0.4377
1-04.png,0.4105
1-38.png,0.3649
1-63.png,0.3661
1-62.png,0.3627
1-60.png,0.3635
1-48.png,0.3627
1-49.png,0.3605
1-61.png,0.3649
1-59.png,0.3642
1-64.png,0.3644
1-58.png,0.3652
1-42.png,0.3539
1-56.png,0.3672
