Epoch,Total Epochs,Iteration,Total Iterations,Loss_D,Loss_G,D(x),D(G(z))_Real,D(G(z))_Fake
0,1000,0,32,1.3144434690475464,4.600696563720703,0.5888392925262451,0.5309513807296753,0.010408002883195877
1,1000,0,32,0.0034050769172608852,7.636363983154297,0.9991716742515564,0.0025689948815852404,0.000659073528368026
2,1000,0,32,0.0030360666569322348,7.910818099975586,0.9981747269630432,0.001201470848172903,0.0004182889824733138
3,1000,0,32,0.0018023998709395528,8.22575569152832,0.9992287158966064,0.0010287279728800058,0.0002860028180293739
4,1000,0,32,0.0012908842181786895,8.491656303405762,0.99981689453125,0.0011069823522120714,0.00021419895347207785
5,1000,0,32,0.0005689062527380884,8.754415512084961,0.9998655319213867,0.00043428284698165953,0.000165378995006904
6,1000,0,32,0.0005583097808994353,8.703324317932129,0.9997841119766235,0.0003422660520300269,0.00017180954455398023
7,1000,0,32,0.00038853264413774014,8.741476058959961,0.9999335408210754,0.000322028441587463,0.00016169942682608962
8,1000,0,32,0.0003146450617350638,8.88497543334961,0.999942421913147,0.00025706924498081207,0.0001393548009218648
9,1000,0,32,0.00033989857183769345,8.944334030151367,0.9999887347221375,0.0003285656566731632,0.00013177348591852933
10,1000,0,32,0.0009383506258018315,9.661170959472656,0.9995627999305725,0.0005006724968552589,6.443773600040004e-05
11,1000,0,32,0.01884462684392929,20.108566284179688,0.982389509677887,3.42706019118566e-09,1.8961427983299473e-09
12,1000,0,32,0.0066123055294156075,7.6765642166137695,0.9965710639953613,0.00306505523622036,0.000678922631777823
13,1000,0,32,0.07729867100715637,12.663020133972168,0.9825345873832703,0.05586046725511551,4.990190973330755e-06
14,1000,0,32,0.00895945355296135,7.47528076171875,0.996031641960144,0.004937470890581608,0.0010682032443583012
15,1000,0,32,0.14617685973644257,7.218817234039307,0.9308626651763916,0.017511142417788506,0.0025299792177975178
16,1000,0,32,0.43703439831733704,8.266730308532715,0.9752912521362305,0.15645524859428406,0.00034634239273145795
17,1000,0,32,1.7094870805740356,4.192141532897949,0.9030969142913818,0.6775585412979126,0.017323598265647888
18,1000,0,32,0.7281394004821777,2.0796704292297363,0.6430866718292236,0.111316978931427,0.18401609361171722
19,1000,0,32,1.162177324295044,7.087236404418945,0.967647910118103,0.5645207166671753,0.0015069409273564816
20,1000,0,32,0.44115880131721497,3.6523702144622803,0.7920907735824585,0.08382868766784668,0.03265633434057236
21,1000,0,32,0.4424649477005005,3.5934295654296875,0.8692088723182678,0.12829332053661346,0.04138821363449097
22,1000,0,32,0.5808775424957275,4.738720893859863,0.9440625905990601,0.3538352847099304,0.014993460848927498
23,1000,0,32,1.3451061248779297,5.756003379821777,0.9919424057006836,0.6155807375907898,0.007139907218515873
24,1000,0,32,2.369891405105591,2.053816556930542,0.3156886696815491,0.005682308226823807,0.165647953748703
25,1000,0,32,1.3697923421859741,2.124188184738159,0.4427196681499481,0.002121945843100548,0.30697229504585266
26,1000,0,32,0.29963552951812744,3.966508388519287,0.8073743581771851,0.01236196793615818,0.05211605131626129
27,1000,0,32,2.6031508445739746,10.210949897766113,0.9995595216751099,0.8509259223937988,9.812433563638479e-05
