Epoch,Total Epochs,Iteration,Total Iterations,Loss_D,Loss_G,D(x),D(G(z))_Real,D(G(z))_Fake
0,1000,0,124,1.4822614192962646,3.092151403427124,0.4880819618701935,0.5227692127227783,0.046914611011743546
0,1000,50,124,0.001940275076776743,7.293673515319824,0.9996137619018555,0.0015523238107562065,0.0007376308785751462
0,1000,100,124,0.0013439995236694813,7.858390808105469,0.9995318055152893,0.0008745185332372785,0.00040329276816919446
1,1000,0,124,0.0009657000773586333,7.978784561157227,0.9997771978378296,0.0007424476207233965,0.00035270644002594054
1,1000,50,124,0.0007237436366267502,8.187152862548828,0.9999140501022339,0.0006376138771884143,0.00028155901236459613
1,1000,100,124,0.0005188634968362749,8.482686042785645,0.9998787641525269,0.0003975476720370352,0.0002098814002238214
2,1000,0,124,0.0006365457666106522,8.442816734313965,0.9999566078186035,0.0005929423496127129,0.0002203361946158111
2,1000,50,124,0.0008177878335118294,8.506485939025879,0.9997014999389648,0.0005185034824535251,0.0002060619299300015
2,1000,100,124,0.1843624711036682,0.0,0.8421685695648193,2.994534327172005e-07,1.0
3,1000,0,124,100.0,0.0,0.999997079372406,1.0,1.0
3,1000,50,124,100.00000762939453,0.0,0.9999943971633911,1.0,1.0
3,1000,100,124,100.00001525878906,0.0,0.9999860525131226,1.0,1.0
4,1000,0,124,100.0,0.0,0.9999980926513672,1.0,1.0
4,1000,50,124,100.0,0.0,0.9999983906745911,1.0,1.0
4,1000,100,124,100.0,0.0,0.999997615814209,1.0,1.0
5,1000,0,124,100.0,0.0,0.9999991655349731,1.0,1.0
5,1000,50,124,100.0,0.0,0.9999996423721313,1.0,1.0
5,1000,100,124,100.0,0.0,0.9999990463256836,1.0,1.0
6,1000,0,124,100.0,0.0,0.9999988675117493,1.0,1.0
6,1000,50,124,100.0,0.0,0.9999998807907104,1.0,1.0
6,1000,100,124,100.0,0.0,0.999999463558197,1.0,1.0
7,1000,0,124,100.0,0.0,0.9999998807907104,1.0,1.0
7,1000,50,124,100.0,0.0,0.9999996423721313,1.0,1.0
7,1000,100,124,100.0,0.0,0.9999998807907104,1.0,1.0
8,1000,0,124,100.0,0.0,0.9999998807907104,1.0,1.0
8,1000,50,124,100.0,0.0,0.9999997615814209,1.0,1.0
8,1000,100,124,100.0,0.0,1.0,1.0,1.0
9,1000,0,124,100.0,0.0,0.9999998211860657,1.0,1.0
9,1000,50,124,100.0,0.0,0.9999995231628418,1.0,1.0
9,1000,100,124,100.0,0.0,0.9999995231628418,1.0,1.0
10,1000,0,124,100.0,0.0,0.9999998211860657,1.0,1.0
10,1000,50,124,100.0,0.0,1.0,1.0,1.0
10,1000,100,124,100.0,0.0,0.9999998807907104,1.0,1.0
11,1000,0,124,100.0,0.0,0.9999993443489075,1.0,1.0
11,1000,50,124,100.0,0.0,0.9999998807907104,1.0,1.0
11,1000,100,124,100.0,0.0,0.9999998211860657,1.0,1.0
12,1000,0,124,100.0,0.0,1.0,1.0,1.0
12,1000,50,124,100.0,0.0,1.0,1.0,1.0
12,1000,100,124,100.0,0.0,0.9999998211860657,1.0,1.0
13,1000,0,124,100.0,0.0,0.9999996423721313,1.0,1.0
